California Deaths by County -Total Population - 2020 ,,,,
Any Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,8.09,6.81,9.57,144
Alpine,0,NaN,686.06,0
Amador,13.07,6.17,35.58,4
Butte,11.54,7.52,17.37,26
Calaveras,7,12.01,24.71,2
California,13.54,13.18,13.91,5502
Colusa,14.72,5.35,47.28,3
Contra Costa,12.61,10.61,14.91,144
Del Norte,9.01,6.53,31.14,3
El Dorado,11.72,7.27,18.37,22
Fresno,7.01,5.46,8.91,71
Glenn,14.87,11.23,43.18,3
Humboldt,18.34,11.56,28.01,24
Imperial,19.07,13.08,27.21,32
Inyo,22.03,8,66.28,3
Kern,24.32,21.18,27.83,222
Kings,7.36,3.66,13.78,10
Lake,26.11,15.2,43.48,17
Lassen,18.12,8.35,41.99,7
Los Angeles,12.4,11.73,13.1,1300
Madera,4.87,1.99,10.25,7
Marin,14.06,9.4,20.44,33
Mariposa,3.87,4.22,40.96,1
Mendocino,25.84,15.9,40.36,20
Merced,9.98,6.79,14.48,29
Modoc,0,NaN,70.88,0
Mono,0,NaN,38.89,0
Monterey,5.85,3.77,8.73,25
Napa,5.2,3.29,11.12,8
Nevada,34.09,22.38,50.33,30
Orange,15.45,14.11,16.89,503
Placer,12.22,8.86,16.5,45
Plumas,6.28,6.84,43.77,1
Riverside,16.05,14.5,17.74,400
Sacramento,6.81,5.58,8.26,107
San Benito,6.33,1.72,17.12,4
San Bernardino,12.95,11.47,14.57,288
San Diego,15.14,13.87,16.52,528
San Francisco,44.51,40.39,49.1,443
San Joaquin,11.1,8.88,13.77,85
San Luis Obispo,20.56,15.33,27.21,57
San Mateo,10.06,7.96,12.61,81
Santa Barbara,3.54,2.06,5.94,16
Santa Clara,7.1,5.97,8.39,143
Santa Cruz,9.65,6.2,14.55,26
Shasta,16.25,10.87,23.91,27
Sierra,0,NaN,275.54,0
Siskiyou,19.37,12.09,42.02,7
Solano,8.71,6.22,12.02,39
Sonoma,23.69,19.39,28.76,111
Stanislaus,13.5,10.64,17,74
Sutter,10.35,7.75,18.88,11
Tehama,3.38,1.84,13.78,2
Trinity,0,NaN,51.18,0
Tulare,8.22,5.88,11.34,39
Tuolumne,3.48,5.29,15.7,2
Unknown,NaN,NaN,NaN,113
Ventura,17.07,14.36,20.2,141
Yolo,4.04,2.03,7.91,10
Yuba,10.64,7.41,20.99,9
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
