"CTYNAME","pop2021","GrowthRate","popDensity"
"Los Angeles County","9969510","1.4889","2456.6933"
"San Diego County","3347270","7.8648","795.7052"
"Orange County","3175130","5.3052","4015.0980"
"Riverside County","2520060","14.4660","349.6980"
"San Bernardino County","2206750","8.1290","110.0236"
"Santa Clara County","1918880","7.4377","1487.2541"
"Alameda County","1680480","11.0701","2273.7070"
"Sacramento County","1578680","11.0667","1636.0392"
"Contra Costa County","1159540","10.1659","1604.3605"
"Fresno County","1013400","8.7294","170.0672"
"Kern County","913090","8.5725","112.2839"
"San Francisco County","883255","9.6523","18835.0164"
"Ventura County","841734","2.0164","456.7163"
"San Joaquin County","781462","13.7289","561.6469"
"San Mateo County","762357","5.9272","1699.8905"
"Stanislaus County","555728","7.8780","371.8362"
"Sonoma County","485722","0.1995","308.2309"
"Tulare County","469407","5.9684","97.3013"
"Solano County","451479","9.0616","549.3969"
"Santa Barbara County","447937","5.5880","163.7723"
"Monterey County","434283","4.3014","132.3789"
"Placer County","410327","17.2293","291.6150"
"Merced County","284738","10.9134","147.1539"
"San Luis Obispo County","282625","4.7527","85.6280"
"Santa Cruz County","271957","3.3479","610.9153"
"Marin County","257154","1.6805","494.0590"
"Yolo County","221264","10.0416","218.0442"
"El Dorado County","197037","8.7785","115.3679"
"Butte County","196880","-10.4883","120.3082"
"Shasta County","180822","2.0014","47.8950"
"Imperial County","180599","3.3672","43.2405"
"Madera County","158217","4.7892","74.0336"
"Kings County","156056","2.4191","112.3173"
"Napa County","135654","-0.8080","181.2666"
"Humboldt County","134186","-0.6096","37.6085"
"Nevada County","100249","1.4769","104.6681"
"Sutter County","98217","3.6580","163.0399"
"Mendocino County","85445","-2.6811","24.3686"
"Yuba County","80890","11.8068","127.9818"
"Tehama County","67216","5.7537","22.7873"
"San Benito County","65490","17.9660","47.1589"
"Lake County","64524","-0.3259","51.3527"
"Tuolumne County","54660","-0.9603","24.6116"
"Calaveras County","46319","1.8716","45.4102"
"Siskiyou County","43517","-3.1621","6.9318"
"Amador County","40446","6.7571","68.0248"
"Lassen County","30483","-12.4831","6.7126"
"Glenn County","29245","3.9748","22.2574"
"Del Norte County","27956","-2.1354","27.7812"
"Colusa County","21805","1.7167","18.9489"
"Plumas County","18939","-4.8961","7.4182"
"Inyo County","18225","-1.5450","1.7901"
"Mariposa County","16799","-8.0867","11.5950"
"Mono County","14526","1.8868","4.7643"
"Trinity County","11721","-14.7874","3.6867"
"Modoc County","8923","-7.9534","2.2789"
"Sierra County","3021","-6.1801","3.1694"
"Alpine County","1209","4.1344","1.6375"
